iso,year,gini
EST,2012,32.9
EST,2013,35.1
EST,2014,34.6
EST,2015,32.7
EST,2016,31.2
EST,2017,30.4
ETH,1995,44.6
ETH,1999,30
ETH,2004,29.8
ETH,2010,33.2
ETH,2015,35
FIN,1987,22.2
FIN,1991,22.9
FIN,1995,23.5
FIN,2000,27.2
FIN,2003,27.7
FIN,2004,27.9
FIN,2005,27.6
FIN,2006,28
FIN,2007,28.3
FIN,2008,27.8
FIN,2009,27.5
FIN,2010,27.7
FIN,2011,27.6
FIN,2012,27.1
FIN,2013,27.2
FIN,2014,26.8
FIN,2015,27.1
FIN,2016,27.1
FIN,2017,27.4
FJI,2002,38.1
FJI,2008,40.4
FJI,2013,36.7
FRA,1978,35.2
FRA,1984,36.9
FRA,1989,32.2
FRA,1994,32.3
FRA,2000,31.1
FRA,2003,31.4
FRA,2004,30.6
FRA,2005,29.8
FRA,2006,29.7
FRA,2007,32.4
FRA,2008,33
FRA,2009,32.7
FRA,2010,33.7
FRA,2011,33.3
FRA,2012,33.1
FRA,2013,32.5
FRA,2014,32.3
FRA,2015,32.7
FRA,2016,31.9
FRA,2017,31.6
FSM,2005,42.4
FSM,2013,40.1
GAB,2005,42.2
GAB,2017,38
GBR,1969,33.7
GBR,1974,30
GBR,1979,28.4
GBR,1986,31.9
GBR,1991,35.9
GBR,1994,36.1
GBR,1995,36.3
GBR,1999,37
GBR,2004,36
GBR,2005,34.3
GBR,2006,34.6
GBR,2007,35.7
GBR,2008,34.1
GBR,2009,34.3
GBR,2010,34.4
GBR,2011,33.2
GBR,2012,32.3
GBR,2013,33.2
GBR,2014,34
GBR,2015,33.2
GBR,2016,34.8
GEO,1996,37.1
GEO,1997,40.7
GEO,1998,41.3
GEO,1999,40.1
GEO,2000,40.5
GEO,2001,39.6
GEO,2002,37.2
GEO,2003,36.7
GEO,2004,36.2
GEO,2005,37.4
GEO,2006,36.9
GEO,2007,38.1
GEO,2008,38.5
GEO,2009,38.2
GEO,2010,39.5
GEO,2011,39.6
GEO,2012,39
GEO,2013,38.6
GEO,2014,37.6
GEO,2015,36.5
GEO,2016,36.6
GEO,2017,37.9
GEO,2018,36.4
GHA,1987,35.3
GHA,1988,36
GHA,1991,38.4
GHA,1998,40.1
GHA,2005,42.8
GHA,2012,42.4
GHA,2016,43.5
GIN,1991,46.8
GIN,1994,46.1
GIN,2002,43
GIN,2007,39.4
GIN,2012,33.7
GMB,1998,48.5
GMB,2003,47.3
GMB,2010,43.6
GMB,2015,35.9
GNB,1993,43.6
GNB,2002,35.6
GNB,2010,50.7
GRC,1995,37
GRC,2000,34.2
GRC,2003,32.8
GRC,2004,33.6
GRC,2005,34.6
GRC,2006,35.1
GRC,2007,34
GRC,2008,33.6
GRC,2009,33.6
GRC,2010,34.1
GRC,2011,34.8
GRC,2012,36.3
GRC,2013,36.1
GRC,2014,35.8
GRC,2015,36
GRC,2016,35
GRC,2017,34.4
GTM,1986,58.3
GTM,1989,59.6
GTM,2000,54.2
GTM,2006,54.6
GTM,2014,48.3
GUY,1998,44.6
