"","OriginCountry","Year","Stock_IDMC"
"607","ISR","2016",NA
"608","ISR","2018",NA
"609","ITA","2009",NA
"610","ITA","2010",NA
"611","ITA","2011",NA
"612","ITA","2012",NA
"613","ITA","2013",NA
"614","ITA","2014",NA
"615","ITA","2015",NA
"616","ITA","2016",NA
"617","ITA","2017",NA
"618","ITA","2018",NA
"619","JAM","2008",NA
"620","JAM","2010",NA
"621","JAM","2012",NA
"622","JAM","2016",NA
"623","JAM","2017",NA
"624","JAM","2018",NA
"625","JOR","2013",NA
"626","JOR","2017",NA
"627","JOR","2018",NA
"628","JPN","2008",NA
"629","JPN","2009",NA
"630","JPN","2010",NA
"631","JPN","2011",NA
"632","JPN","2012",NA
"633","JPN","2013",NA
"634","JPN","2014",NA
"635","JPN","2015",NA
"636","JPN","2016",NA
"637","JPN","2017",NA
"638","JPN","2018",NA
"639","KAZ","2010",NA
"640","KAZ","2011",NA
"641","KAZ","2012",NA
"642","KAZ","2013",NA
"643","KAZ","2015",NA
"644","KAZ","2016",NA
"645","KAZ","2017",NA
"646","KAZ","2018",NA
"647","KEN","2008",NA
"648","KEN","2009","250000"
"649","KEN","2010","250000"
"650","KEN","2011","250000"
"651","KEN","2012","300000"
"652","KEN","2013","412000"
"653","KEN","2014","309000"
"654","KEN","2015","309000"
"655","KEN","2016","138000"
"656","KEN","2017","159000"
"657","KEN","2018","162000"
"658","KGZ","2008",NA
"659","KGZ","2010","75000"
"660","KGZ","2011","67000"
"661","KGZ","2012","164000"
"662","KGZ","2013",NA
"663","KGZ","2015",NA
"664","KGZ","2016",NA
"665","KGZ","2017",NA
"666","KGZ","2018",NA
"667","KHM","2009",NA
"668","KHM","2010",NA
"669","KHM","2011",NA
"670","KHM","2013",NA
"671","KHM","2014",NA
"672","KHM","2015",NA
"673","KHM","2016",NA
"674","KHM","2017",NA
"675","KHM","2018",NA
"676","KIR","2008",NA
"677","KIR","2015",NA
"678","KNA","2017",NA
"679","KOR","2010",NA
"680","KOR","2011",NA
"681","KOR","2013",NA
"682","KOR","2016",NA
"683","KOR","2017",NA
"684","KOR","2018",NA
"685","LAO","2008",NA
"686","LAO","2009",NA
"687","LAO","2010",NA
"688","LAO","2011",NA
"689","LAO","2012",NA
"690","LAO","2013",NA
"691","LAO","2014",NA
"692","LAO","2015",NA
"693","LAO","2016",NA
"694","LAO","2017",NA
"695","LAO","2018",NA
"696","LBN","2009","90000"
"697","LBN","2010","75000"
"698","LBN","2011","47000"
"699","LBN","2012","45000"
"700","LBN","2013","20000"
"701","LBN","2014","20000"
"702","LBN","2015","12000"
"703","LBN","2016","12000"
"704","LBN","2017","11000"
"705","LBN","2018","11000"
"706","LBR","2008",NA
"707","LBR","2009","23000"
"708","LBR","2010","23000"
"709","LBR","2011","23000"
"710","LBR","2012","23000"
"711","LBR","2013","23000"
"712","LBR","2014","23000"
"713","LBR","2016",NA
"714","LBR","2017",NA
"715","LBR","2018",NA
"716","LBY","2011","154000"
"717","LBY","2012","50000"
"718","LBY","2013","59000"
"719","LBY","2014","400000"
"720","LBY","2015","500000"
"721","LBY","2016","304000"
"722","LBY","2017","197000"
"723","LBY","2018","221000"
"724","LCA","2010",NA
"725","LCA","2013",NA
"726","LCA","2016",NA
"727","LKA","2008",NA
"728","LKA","2009","400000"
"729","LKA","2010","327000"
"730","LKA","2011","125000"
"731","LKA","2012","93000"
"732","LKA","2013","90000"
"733","LKA","2014","90000"
"734","LKA","2015","44000"
"735","LKA","2016","44000"
"736","LKA","2017","42000"
"737","LKA","2018","37000"
"738","LSO","2010",NA
"739","LSO","2011",NA
"740","LSO","2014",NA
"741","LSO","2018",NA
"742","LTU","2010",NA
"743","LVA","2018",NA
"744","MAC","2018",NA
"745","MAF","2017",NA
"746","MAR","2008",NA
"747","MAR","2009",NA
"748","MAR","2010",NA
"749","MAR","2012",NA
"750","MAR","2014",NA
"751","MDA","2008",NA
"752","MDA","2010",NA
"753","MDG","2008",NA
"754","MDG","2009",NA
"755","MDG","2010",NA
"756","MDG","2011",NA
"757","MDG","2012",NA
"758","MDG","2013",NA
"759","MDG","2014",NA
"760","MDG","2015",NA
"761","MDG","2016",NA
"762","MDG","2017",NA
"763","MDG","2018","2000"
"764","MDV","2017",NA
"765","MDV","2018",NA
"766","MEX","2008",NA
"767","MEX","2009","8000"
"768","MEX","2010","123000"
"769","MEX","2011","162000"
"770","MEX","2012","162000"
"771","MEX","2013","160000"
"772","MEX","2014","281000"
"773","MEX","2015","287000"
"774","MEX","2016","311000"
"775","MEX","2017","345000"
"776","MEX","2018","338000"
"777","MHL","2008",NA
"778","MHL","2014",NA
"779","MKD","2009","640"
"780","MKD","2010","640"
"781","MKD","2011","640"
"782","MKD","2012","620"
"783","MKD","2013","330"
"784","MKD","2014","220"
"785","MKD","2015","200"
"786","MKD","2016","150"
"787","MKD","2017","140"
"788","MKD","2018","140"
"789","MLI","2008",NA
"790","MLI","2009",NA
"791","MLI","2010",NA
"792","MLI","2011",NA
"793","MLI","2012","230000"
"794","MLI","2013","218000"
"795","MLI","2014","62000"
"796","MLI","2015","50000"
"797","MLI","2016","37000"
"798","MLI","2017","38000"
"799","MLI","2018","120000"
"800","MMR","2008",NA
"801","MMR","2009","470000"
"802","MMR","2010","446000"
"803","MMR","2011","450000"
"804","MMR","2012","450000"
"805","MMR","2013","641000"
"806","MMR","2014","645000"
"807","MMR","2015","644000"
"808","MMR","2016","644000"
"809","MMR","2017","635000"
"810","MMR","2018","401000"
"811","MNE","2009",NA
"812","MNE","2010",NA
"813","MNE","2012",NA
"814","MNE","2016",NA
"815","MNE","2017",NA
"816","MNE","2018",NA
"817","MNG","2009",NA
"818","MNG","2015",NA
"819","MNG","2018",NA
"820","MNP","2018",NA
"821","MOZ","2008",NA
"822","MOZ","2009",NA
"823","MOZ","2010",NA
"824","MOZ","2011",NA
"825","MOZ","2012",NA
"826","MOZ","2013",NA
"827","MOZ","2014",NA
"828","MOZ","2015",NA
"829","MOZ","2016","15000"
"830","MOZ","2017","10000"
"831","MOZ","2018","14000"
"832","MRT","2009",NA
"833","MRT","2010",NA
"834","MRT","2013",NA
"835","MRT","2017",NA
"836","MRT","2018",NA
"837","MTQ","2011",NA
"838","MUS","2015",NA
"839","MUS","2016",NA
"840","MUS","2017",NA
"841","MUS","2018",NA
"842","MWI","2009",NA
"843","MWI","2010",NA
"844","MWI","2011",NA
"845","MWI","2012",NA
"846","MWI","2013",NA
"847","MWI","2014",NA
"848","MWI","2015",NA
"849","MWI","2016",NA
"850","MWI","2017",NA
"851","MWI","2018",NA
"852","MYS","2008",NA
"853","MYS","2009",NA
"854","MYS","2010",NA
"855","MYS","2011",NA
"856","MYS","2012",NA
"857","MYS","2013",NA
"858","MYS","2014",NA
"859","MYS","2015",NA
"860","MYS","2016",NA
"861","MYS","2017",NA
"862","MYS","2018",NA
"863","NAM","2008",NA
"864","NAM","2009",NA
"865","NAM","2010",NA
"866","NAM","2011",NA
"867","NAM","2012",NA
"868","NAM","2013",NA
"869","NAM","2014",NA
"870","NAM","2015",NA
"871","NAM","2017",NA
"872","NAM","2018",NA
"873","NCL","2011",NA
"874","NCL","2017",NA
"875","NCL","2018",NA
"876","NER","2008",NA
"877","NER","2009","11000"
"878","NER","2010","11000"
"879","NER","2011","11000"
"880","NER","2012","11000"
"881","NER","2013","11000"
"882","NER","2014","11000"
"883","NER","2015","153000"
"884","NER","2016","136000"
"885","NER","2017","144000"
"886","NER","2018","156000"
"887","NGA","2009",NA
"888","NGA","2010",NA
"889","NGA","2011",NA
"890","NGA","2012",NA
"891","NGA","2013","3300000"
"892","NGA","2014","1075000"
"893","NGA","2015","2096000"
"894","NGA","2016","1955000"
"895","NGA","2017","1707000"
"896","NGA","2018","2216000"
"897","NIC","2008",NA
"898","NIC","2009",NA
"899","NIC","2010",NA
"900","NIC","2011",NA
"901","NIC","2012",NA
"902","NIC","2013",NA
"903","NIC","2014",NA
"904","NIC","2015",NA
"905","NIC","2016",NA
"906","NIC","2017",NA
"907","NIC","2018",NA
"908","NOR","2011",NA
"909","NOR","2014",NA
"910","NOR","2015",NA
"911","NOR","2016",NA
"912","NOR","2017",NA
"913","NPL","2008",NA
"914","NPL","2009","60000"
"915","NPL","2010","50000"
"916","NPL","2011","50000"
"917","NPL","2012","50000"
"918","NPL","2013","50000"
"919","NPL","2014","50000"
"920","NPL","2015","50000"
"921","NPL","2016","50000"
"922","NPL","2017","2"
"923","NPL","2018",NA
"924","NZL","2010",NA
"925","NZL","2011",NA
"926","NZL","2012",NA
"927","NZL","2013",NA
"928","NZL","2015",NA
"929","NZL","2016",NA
"930","NZL","2017",NA
"931","NZL","2018",NA
"932","OMN","2010",NA
"933","OMN","2011",NA
"934","OMN","2013",NA
"935","OMN","2017",NA
"936","OMN","2018",NA
"937","PAK","2008",NA
"938","PAK","2009","1230000"
"939","PAK","2010","980000"
"940","PAK","2011","900000"
"941","PAK","2012","758000"
"942","PAK","2013","747000"
"943","PAK","2014","1900000"
"944","PAK","2015","1459000"
"945","PAK","2016","464000"
"946","PAK","2017","249000"
"947","PAK","2018","119000"
"948","PAN","2008",NA
"949","PAN","2009",NA
"950","PAN","2010",NA
"951","PAN","2011",NA
"952","PAN","2012",NA
"953","PAN","2013",NA
"954","PAN","2014",NA
"955","PAN","2015",NA
"956","PAN","2016",NA
"957","PAN","2017",NA
"958","PER","2008",NA
"959","PER","2009","150000"
"960","PER","2010","150000"
"961","PER","2011","150000"
"962","PER","2012","150000"
"963","PER","2013","150000"
"964","PER","2014","150000"
"965","PER","2015","60000"
"966","PER","2016","62000"
"967","PER","2017","59000"
"968","PER","2018","59000"
"969","PHL","2008",NA
"970","PHL","2009","125000"
"971","PHL","2010","15000"
"972","PHL","2011","46000"
"973","PHL","2012",NA
"974","PHL","2013","116000"
"975","PHL","2014","78000"
"976","PHL","2015","62000"
"977","PHL","2016","87000"
"978","PHL","2017","445000"
"979","PHL","2018","301000"
"980","PLW","2012",NA
"981","PLW","2013",NA
"982","PNG","2008",NA
"983","PNG","2009",NA
"984","PNG","2010",NA
"985","PNG","2011",NA
"986","PNG","2012",NA
"987","PNG","2013",NA
"988","PNG","2014","7500"
"989","PNG","2015","6300"
"990","PNG","2016","8400"
"991","PNG","2017","12000"
"992","PNG","2018","12000"
"993","POL","2009",NA
"994","POL","2010",NA
"995","PRI","2017",NA
"996","PRI","2018",NA
"997","PRK","2010",NA
"998","PRK","2011",NA
"999","PRK","2012",NA
"1000","PRK","2013",NA
"1001","PRK","2015",NA
"1002","PRK","2016",NA
"1003","PRK","2018",NA
"1004","PRT","2008",NA
"1005","PRT","2010",NA
"1006","PRT","2015",NA
"1007","PRT","2016",NA
"1008","PRT","2017",NA
"1009","PRT","2018",NA
"1010","PRY","2008",NA
"1011","PRY","2009",NA
"1012","PRY","2010",NA
"1013","PRY","2012",NA
"1014","PRY","2013",NA
"1015","PRY","2014",NA
"1016","PRY","2015",NA
"1017","PRY","2016",NA
"1018","PRY","2017",NA
"1019","PRY","2018",NA
"1020","PSE","2009","160000"
"1021","PSE","2010","160000"
"1022","PSE","2011","160000"
"1023","PSE","2012","145000"
"1024","PSE","2013","146000"
"1025","PSE","2014","275000"
"1026","PSE","2015","221000"
"1027","PSE","2016","193000"
"1028","PSE","2017","231000"
"1029","PSE","2018","238000"
"1030","PYF","2010",NA
"1031","PYF","2017",NA
"1032","ROU","2008",NA
"1033","ROU","2009",NA
"1034","ROU","2010",NA
"1035","ROU","2014",NA
"1036","ROU","2015",NA
"1037","ROU","2016",NA
"1038","ROU","2018",NA
"1039","RUS","2009","80000"
