iso,year,animal_em,drought_em,earthquake_em,epidemic_em,extremetemp_em,flood_em,fog_em,impact_em,insect_em,landslide_em,massmove_em,storm_em,volcano_em,wildfire_em,totaldeaths,totaldisasters,totaldamage
TUR,2006,0,0,0,2,0,2,0,0,0,0,0,0,0,0,83,4,317000
TUR,2007,0,0,0,0,1,3,0,0,0,0,0,0,0,0,19,4,0
TUR,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
TUR,2009,0,0,0,0,0,2,0,0,0,2,0,0,0,0,62,4,550000
TUR,2010,0,0,1,0,0,0,0,0,0,1,0,0,0,0,64,2,0
TUR,2011,0,0,3,0,0,1,0,0,0,0,0,0,0,0,655,4,1744000
TUR,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
TUR,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0
TUR,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TUR,2015,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,2,0
TUR,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TUV,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
