"","OriginCountry","Year","Size"
"1029","PAK",1987,2
"1030","PHL",1987,10643
"1031","POL",1987,19000
"1032","PSE",1987,10152
"1033","ROU",1987,25519
"1034","RUS",1987,10478
"1035","RWA",1987,27820
"1036","SDN",1987,13813
"1037","SLV",1987,46083
"1038","SOM",1987,14183
"1039","SRB",1987,7004
"1040","Stateless",1987,12161
"1041","SYC",1987,3374
"1042","SYR",1987,3375
"1043","TCD",1987,63355
"1044","TGO",1987,7825
"1045","TIB",1987,1851
"1046","TUN",1987,8717
"1047","TUR",1987,7134
"1048","TZA",1987,3377
"1049","UGA",1987,36972
"1050","URY",1987,6662
"1051","Various/Unknown",1987,360170
"1052","VNM",1987,83165
"1053","YEM",1987,9439
"1054","ZAF",1987,38733
"1055","ZWE",1987,14356
"1056","AFG",1988,39398
"1057","AGO",1988,33235
"1058","ALB",1988,14297
"1059","ARG",1988,6314
"1060","ARM",1988,5417
